subject,awareness,variance_mean,peak_to_peak_mean
10,Seen,3.2263823336373594e-11,2.80122585571055e-05
10,Seen,5.4409750324569633e-11,3.609371726106774e-05
10,Seen,3.932203885168637e-11,3.066481742087112e-05
10,Seen,4.82595356613069e-11,3.427423282026326e-05
10,Unseen,6.401532181584876e-11,3.860107320150261e-05
10,Seen,4.42080448171965e-11,3.281818589306876e-05
10,Unseen,4.056030669340031e-11,3.111026850181642e-05
10,Unseen,5.378499586636631e-11,3.6074458143727214e-05
10,Unseen,3.428887329387428e-11,2.8925305460584034e-05
10,Unseen,3.1895326840126116e-11,2.784866637212808e-05
10,Seen,4.8885442770787585e-11,3.320474649453842e-05
10,Seen,6.055189657186838e-11,3.6788804252250105e-05
10,Unseen,8.847388483654603e-11,4.382506234166606e-05
10,Seen,5.189931809269072e-11,3.4000633120734624e-05
10,Seen,3.967517013893747e-11,2.9236180178816944e-05
10,Seen,4.451310352641377e-11,3.1869462335021093e-05
10,Unseen,3.690348149953762e-11,3.0268037773626565e-05
10,Seen,3.4199596370035694e-11,2.7869716725921275e-05
10,Unseen,3.8897938746569925e-11,3.316668248623525e-05
10,Unseen,7.396561185929113e-11,4.1170726669325475e-05
10,Unseen,2.565871070644093e-11,2.347388222776946e-05
10,Unseen,3.2645672457522975e-11,2.7079679361401342e-05
10,Seen,3.0035820132416886e-11,2.7540457494212358e-05
10,Unseen,3.811913329674147e-11,3.064498858608517e-05
10,Seen,3.55706684146619e-11,3.0571555218277444e-05
10,Seen,2.7333174374249358e-11,2.4750838277553833e-05
10,Unseen,4.3693096359113836e-11,3.2551118587747675e-05
10,Seen,8.372757772372664e-11,3.8988534289165834e-05
10,Seen,2.885292441045503e-11,2.559416022671847e-05
10,Seen,4.3447520402402765e-11,3.221872712170872e-05
10,Seen,3.6743213713987086e-11,2.8231123605636548e-05
10,Unseen,3.417769440133148e-11,2.7422124557793542e-05
10,Seen,7.276001525249265e-11,4.431194603844964e-05
10,Seen,2.538404317387131e-11,2.428149843113496e-05
10,Unseen,3.670467180221966e-11,2.875377788091163e-05
