subject,block,awareness,perm_entropy,lz_complexity
10,experimental,Seen,0.9834115515962172,1.0930569201950269
10,experimental,Seen,0.9805124202503507,1.004676574685798
10,experimental,Seen,0.9761443028333003,1.024172239136363
10,experimental,Seen,0.9808919965205097,1.021572817209621
10,experimental,Seen,0.9856700642550148,0.9968783089055715
10,experimental,Unseen,0.967859170120349,0.9266939168835366
10,experimental,Seen,0.9775536463062403,0.9279936278469078
10,experimental,Unseen,0.977677992918957,0.9955785979422005
10,experimental,Unseen,0.9781676165843856,0.9539878471143279
10,experimental,Unseen,0.979483786964216,1.1203508504258184
10,experimental,Unseen,0.9822382780343355,1.04626732551367
10,experimental,Seen,0.9822059385747535,0.9331924717003917
10,experimental,Seen,0.976820387332141,0.964385534821296
10,experimental,Unseen,0.9603600249751963,0.8448121261911623
10,experimental,Seen,0.9841516664042488,0.9565872690410699
10,experimental,Seen,0.9802537098652819,1.025471950099734
10,experimental,Seen,0.9809851205251111,1.0072759966125397
10,experimental,Unseen,0.9807093765009146,1.015074262392766
10,experimental,Seen,0.9779813027046725,1.0852586544148008
10,experimental,Unseen,0.9819849043224778,1.0709618338177196
10,experimental,Unseen,0.9783542728153114,0.8474115481179042
10,experimental,Unseen,0.9567126424354764,0.8552098138981306
10,experimental,Unseen,0.9817602761368288,0.9864806211986032
10,experimental,Seen,0.9831300657916918,1.0085757075759105
10,experimental,Unseen,0.981324601017444,1.037169348770073
10,experimental,Seen,0.9707949819430142,0.9630858238579251
10,experimental,Seen,0.9779256997423136,1.0059762856491687
10,experimental,Unseen,0.9798861103062391,1.0059762856491687
10,experimental,Seen,0.9615639224116982,0.7330369833412547
10,experimental,Seen,0.9799866662706188,0.9552875580776989
10,experimental,Seen,0.9684298313598985,0.9877803321619744
10,experimental,Seen,0.97820595463095,0.9838811992718612
10,experimental,Unseen,0.9811266417479917,0.9422904484439889
10,experimental,Seen,0.9778178415098526,0.9305930497736495
10,experimental,Seen,0.9779435092797519,0.9643855348212962
10,experimental,Unseen,0.9820878750440367,1.0046765746857977
10,experimental,Seen,0.963944542914629,0.8331147275208233
10,experimental,Seen,0.973846474418866,0.7148410298540606
10,experimental,Unseen,0.9823450170769367,1.028071372026476
10,experimental,Seen,0.9707785646092529,0.9851809102352325
10,experimental,Unseen,0.9764689188375936,1.1073537407921086
10,experimental,Seen,0.9745306870705696,1.0137745514293948
10,experimental,Seen,0.9798873233670066,0.9058985414696002
10,experimental,Seen,0.9706126919771956,0.9448898703707306
10,experimental,Seen,0.9702994214786175,0.9929791760154585
10,experimental,Seen,0.9671957453055748,0.9617861128945541
10,experimental,Seen,0.9800018315316061,1.0605641461107516
10,experimental,Seen,0.9766720916297791,0.9669849567480383
10,experimental,Seen,0.9843425900813922,1.1281491162060446
10,experimental,Seen,0.964722717800829,0.9760829334916353
10,experimental,Unseen,0.9829764611021667,1.0462673255136703
10,experimental,Seen,0.9764288115561349,1.0085757075759108
10,experimental,Seen,0.9786407351596345,0.9929791760154585
10,experimental,Seen,0.9771546880542263,0.9643855348212962
10,experimental,Seen,0.9801528007147265,1.1177514284990764
10,experimental,Seen,0.9804903599674638,0.9682846677114091
10,experimental,Seen,0.9714319780080349,0.9370916045905048
10,experimental,Seen,0.9823380830373071,1.0072759966125397
10,experimental,Seen,0.9777371939486746,0.9721838006015221
10,experimental,Unseen,0.9798338884754701,1.025471950099734
10,experimental,Seen,0.9814684640660668,0.9773826444550061
10,experimental,Unseen,0.982024243274386,1.0475670364770413
10,experimental,Seen,0.9820947947999914,1.0813595215246878
10,experimental,Seen,0.9789474048412764,1.025471950099734
