subject,trial_index,event_name,awareness,perm_entropy_mean,lz_complexity_mean
10,314,Present/Seen/Left,Seen,0.9819202099374339,0.8731160723182747
10,315,Present/Seen/Left,Seen,0.9833609589033485,0.9634081962628354
10,316,Present/Seen/Right,Seen,0.9806351639540124,0.9108108425087222
10,318,Present/Seen/Right,Seen,0.9797900355285675,0.8713628271931375
10,319,Present/Seen/Right,Seen,0.9875623857536082,0.8801290528188231
10,321,Present/Seen/Left,Seen,0.9872856536991278,0.8713628271931375
10,323,Present/Seen/Left,Seen,0.9863786648006688,0.8801290528188231
10,326,Present/Seen/Left,Seen,0.9862867150367578,0.8827589205065287
10,327,Present/Unseen/Right,Unseen,0.9861584379258246,0.940616009636053
10,328,Present/Unseen/Right,Unseen,0.9856585792234149,0.9441224998863271
10,329,Present/Seen/Left,Seen,0.9809188936421552,0.897661504070194
10,330,Present/Seen/Left,Seen,0.9828765184162737,0.9160705778841336
10,332,Present/Seen/Left,Seen,0.9867097202150303,0.9546419706371497
10,333,Present/Seen/Right,Seen,0.9801923113705105,0.9344796516980731
10,334,Present/Unseen/Right,Unseen,0.9848581993753809,0.9572718383248555
10,336,Present/Seen/Left,Seen,0.9858037577187856,0.9037978620081738
10,338,Present/Seen/Right,Seen,0.9776154177151768,0.7828239483737142
10,340,Present/Seen/Right,Seen,0.9796440624073668,0.8853887881942343
10,341,Present/Unseen/Left,Unseen,0.9783117482558275,0.7863304386239883
10,343,Present/Seen/Left,Seen,0.9726220702886552,0.7232136141190529
10,345,Present/Unseen/Right,Unseen,0.9860718877790632,1.0151289274543795
10,346,Present/Seen/Right,Seen,0.9885477855979826,0.9362328968232102
10,347,Present/Seen/Left,Seen,0.9783865537153702,0.9143173327589966
10,348,Present/Seen/Right,Seen,0.985830465493182,0.9441224998863271
10,349,Present/Unseen/Left,Unseen,0.9790491800423543,0.9774341572639319
10,350,Present/Seen/Right,Seen,0.9728224381096063,0.7898369288742624
10,353,Present/Unseen/Left,Unseen,0.9848944709920456,0.9265900486349562
10,355,Present/Seen/Right,Seen,0.9836362343747913,0.8424342826283754
10,356,Present/Seen/Left,Seen,0.9828958019825105,0.7740577227480289
10,358,Present/Seen/Right,Seen,0.9881222920259257,1.001102966453283
10,359,Present/Seen/Left,Seen,0.9806516499992713,0.8494472631289237
10,360,Present/Unseen/Left,Unseen,0.9680135844068805,0.8196420960015932
10,361,Present/Unseen/Left,Unseen,0.9670087912819829,0.7302265946196013
10,364,Present/Seen/Right,Seen,0.9643848732959397,0.7232136141190529
10,365,Present/Seen/Right,Seen,0.9699956678546284,0.8240252088144359
10,366,Present/Seen/Left,Seen,0.9696660964384648,0.6872720890537423
10,368,Present/Unseen/Right,Unseen,0.9508557800777017,0.810875870375908
